2,SYNONYMS,,AT,LEAST,28,WORDS,,DATE,>,1700
LOANWORDS,EXCLUDED

LDND,BEJA{,BEJA_,AYT_S,AWJIL,BENI_,FIGUI,FOQAH,GHADA,GHADA,JEBEL,KABYL,KABYL,NAFUS,OUARG,SENHA,SENHA,SIWA_,SIWI{,TAMAH,TAMAH,TAMAJ,TAMAS,TAMAZ,TAMAZ,TAMAZ,TARIF,TARIF,TASHE,TETSE,TUMZA,WARGL,ZENAG,ZENAG,BACAM,BACAM,BANA{,BAZZA,BOGA{,BUDUM,BURA{,CIBAK,CINEN,CUVOK,DABA{,DGHWE,FALI_,FALI_,FALI_,FALI_,FUTU{,GAAND,GAAND,GAVA{,GHYE{,GIDAR,GLAVD,GUDE{,GUDU{,HDI{A,HILDI,HUBA{,HWANA,JIMI_,JINA{,KAMAL,KILBA,LAGWA,MADA_,MAFA{,MAKAR,MARGI,MBUKO,MOFU_,MOLOK,MUNJU,MUSGU,MUSGU,NGGWA,NKAFA,NZANY,PODOK,PUTAI,SHARW,TERA_,TERA{,TSUVA,WAMDI,WANDA,WUZLA,ZIZIL,ZULGO,AWNGI,AWNGI,BILIN,BILIN,KEMAN,KEMAN,XAMTA,XAMTA,DAHAL,DAHAL,BIDIY,BIRGI,DANGA,KAJAK,KERA{,MABIR,MIGAM,MOKIL,MUBI{,SABA{,SOKOR,TUMAK,UBI{A,GEDEO,GEDEO,HADIY,HADIY,KAMBA,KAMBA,LIBID,SIDAM,SIDAM,AFAR{,AFAR_,ARBOR,ARBOR,BAISO,BAISO,BOON{,BORAN,BORAN,BURJI,BURJI,BUSSA,BUSSA,DAASA,DAASA,EASTE,EASTE,EL_MO,GAWWA,GAWWA,GIDOL,GIDOL,GOBEZ,KOMSO,KOMSO,MAAY{,MECHA,MOGOG,ORMA{,RENDI,RENDI,SAHO{,SAHO_,SOMAL,SOMAL,TSAMA,TSAMA,TUNNI,WERIZ,W_ORO,MASAN,MASAN,MESME,MUSEY,PEVE_,PEVE_,AMEDY,AMHAR,AMHAR,AMHAR,ARABI,ARABI,ARABI,ARABI,ARABI,ARAMA,ARGOB,ASSYR,CHAHA,CAIRO,DAMAS,DELLY,GAFAT,GETO{,HARAR,HARAR,HARSU,HEBRE,HERTE,HOBYO,INNEM,IRAQ_,JILU{,MALTE,MALTE,MEHRI,MEHRI,MESME,MESME,MESQA,MLAHS,MODER,MOROC,MOROC,NEO_M,NIGER,OGADE,PALES,SAN_A,SAN_A,SAN_A,SAURI,SHEHR,SODDO,SOQOT,SOQOT,SOUKH,SYRIA,TIGRE,TIGRE,TIGRI,TIGRI,TIGRI,TRIPO,TUNIS,TUROY,WALAN,WESTE,YEMEN,ZWAY{,AASAX,ALAGW,BURUN,IRAQW,IRAQW,KWADZ,ANGAS,ARABI,BADE{,BOGHO,BOLE{,BOLE_,DASS_,DERA{,DUHWA,DYARI,FYER{,GALAM,GARAK,GEJI{,GERA{,GERA_,GERUM,GITAT,GOEMA,GURUN,GWAGW,HAUSA,HAUSA,HAUSA,JIMI{,KANO{,KAREK,KARIY,KARSH,KIRFI,KOFYA,KULER,KWAAM,MBURK,MISHI,MIYA{,MONTO,MUNDA,MUPUN,MWAGH,NGAMO,NGIZI,NIMBI,PAANC,PERO{,PERO_,POLCI,POLCI,POLCI,RON_B,RON_D,RON_M,RON_M,SAYA{,SHA{A,TANGA,WARJI,YIWOM,ZUMBU,JUBA_,KIBER

BEJA{AA.BEJA|Afro-Asiatic,,.00
BEJA_2{AA.BEJA|Afro-Asiati,56.48,.00
AYT_SEGHROUCHEN{AA.BERBER|,97.86,96.45,.00
AWJILAH{AA.BERBER|Afro-Asi,98.91,95.78,80.56,.00
BENI_SNOUS_WESTERN_ALGERIA,98.00,94.18,52.24,73.47,.00
FIGUIG{AA.BERBER|Afro-Asia,96.62,93.92,56.63,72.36,35.12,.00
FOQAHA{AA.BERBER|Afro-Asia,95.48,96.20,63.17,53.61,47.73,42.75,.00
GHADAMES{AA.BERBER|Afro-As,98.53,98.08,75.62,71.12,73.12,60.69,58.14,.00
GHADAMES_2{AA.BERBER|Afro-,99.24,94.75,73.44,67.42,69.31,55.66,58.09,27.86,.00
JEBEL_NEFUSA{AA.BERBER|Afr,96.18,97.85,69.06,68.13,63.58,58.28,54.99,62.99,60.75,.00
KABYLE{AA.BERBER|Afro-Asia,96.44,95.37,58.82,73.83,49.43,42.20,53.63,67.45,60.93,61.42,.00
KABYLE_GREATER_KABYLIA_AT_,97.69,96.42,63.10,75.81,42.82,46.77,58.66,71.89,67.36,66.79,31.70,.00
NAFUSI{AA.BERBER|Afro-Asia,96.25,97.05,67.77,62.02,50.52,43.11,42.28,56.11,48.24,25.06,49.52,58.55,.00
OUARGLA_BERBER{AA.BERBER|A,93.89,94.16,58.04,74.80,41.45,36.94,48.60,66.84,61.21,59.22,46.40,46.89,47.53,.00
SENHAJA_DE_SRAIR{AA.BERBER,96.12,94.74,60.33,65.13,45.68,57.37,50.35,74.80,72.32,65.52,49.63,41.46,61.06,63.75,.00
SENHAYI{AA.BERBER|Afro-Asi,94.49,94.53,47.37,70.36,50.06,64.96,58.48,77.71,77.30,69.95,61.41,50.73,73.01,68.09,20.06,.00
SIWA_BERBER{AA.BERBER|Afro,98.28,95.95,63.43,67.34,42.21,49.77,41.30,61.80,59.66,56.05,61.60,60.06,49.37,42.77,59.54,63.15,.00
SIWI{AA.BERBER|Afro-Asiati,98.43,98.15,67.82,66.33,48.64,46.98,38.80,65.33,60.48,56.72,60.77,64.56,47.02,47.57,59.65,67.11,17.86,.00
TAMAHAQ_TAHAGGART{AA.BERBE,96.80,94.85,70.51,66.27,67.44,60.24,55.21,63.97,68.04,66.95,56.19,61.76,60.33,61.72,59.02,68.55,65.37,65.28,.00
TAMAHAQ_TAHAGGART_2{AA.BER,96.69,95.97,72.83,65.08,61.89,58.08,50.72,65.13,66.35,65.21,50.92,62.30,52.84,63.83,50.98,66.21,65.03,64.55,29.19,.00
TAMAJEQ_TAYART_AIR{AA.BERB,96.73,98.04,81.35,69.14,72.41,72.86,68.23,72.01,73.35,74.61,71.94,75.07,72.00,73.13,71.89,76.64,69.09,71.83,43.98,49.88,.00
TAMASHEQ{AA.BERBER|Afro-As,98.11,97.63,76.33,65.81,69.78,67.24,58.43,62.87,69.83,66.53,67.35,68.82,61.63,66.59,62.70,73.70,65.35,68.09,27.78,40.12,39.07,.00
TAMAZIGHT_CENTRAL_ATLAS_AY,96.27,93.03,52.71,64.51,52.09,46.42,52.41,65.57,61.39,56.82,36.71,48.87,53.58,54.01,48.03,53.45,60.34,60.68,60.59,52.98,69.70,62.50,.00
TAMAZIGHT_CENTRAL_ATLAS_AY,97.63,95.72,56.62,70.41,47.35,55.87,60.31,71.56,67.15,69.15,47.90,37.59,65.35,57.50,43.26,46.41,60.86,67.09,64.60,64.85,74.29,70.80,29.91,.00
TAMAZIGHT_CENTRAL_ATLAS_NT,96.17,92.27,49.79,61.93,46.77,47.44,48.03,64.40,62.09,58.11,44.12,49.23,57.17,50.60,44.41,40.34,51.06,55.17,53.06,49.73,62.02,55.33,26.97,43.59,.00
TARIFIT_GUELAIA{AA.BERBER|,96.94,92.29,53.32,74.79,33.87,46.89,58.25,74.62,73.60,67.90,52.10,42.55,61.99,50.57,42.63,44.10,54.42,57.25,69.34,65.28,79.33,72.23,53.85,45.41,55.31,.00
TARIFIT_BENI_IZNASSEN{AA.B,96.12,94.64,51.14,73.27,20.92,33.32,51.41,70.25,66.01,64.23,45.32,32.52,53.48,46.11,38.97,44.91,55.17,53.96,61.42,60.37,75.61,69.91,51.36,41.96,50.84,26.94,.00
TASHELHIT_IDA_USEMLAL{AA.B,94.68,91.18,60.17,61.89,53.86,50.59,48.79,66.80,65.75,61.94,50.26,54.02,61.81,57.25,47.30,47.05,51.05,55.70,49.39,48.61,60.56,54.77,41.85,51.96,20.41,60.65,56.21,.00
TETSERRET{AA.BERBER|Afro-A,99.09,98.54,82.98,71.67,80.00,70.50,62.65,74.57,75.80,81.21,77.06,76.64,76.89,74.32,76.23,79.54,73.84,78.47,65.95,71.65,68.05,65.02,70.34,73.57,61.56,85.81,79.47,61.48,.00
TUMZABT{AA.BERBER|Afro-Asi,95.02,93.27,54.89,70.34,36.32,30.57,43.16,61.37,55.70,50.28,37.68,41.32,40.40,23.00,53.16,64.28,44.61,46.82,58.04,56.61,72.56,61.46,43.36,49.95,40.76,47.95,41.53,50.76,71.38,.00
