2,SYNONYMS,,AT,LEAST,28,WORDS,,DATE,>,1700
LOANWORDS,EXCLUDED

LDND,DASHI,EGA_B,ENQI_,ERYUA,GONGX,HEDIA,HEQIN,JIANC,JIANC,JINDI,JINDU,JINMA,JINXI,LANPI,LONGM,LUOBE,LUOBE,MAZHE,QILIQ,QILIQ,SHI_B,TUOLU,XIANG,XISHA,YUNLO,ZHAOZ,ZHOUC,ZHOUC,NORTH,SOUTH,WUJIA,BYANS,CHANT,CHAUD,CHORB,DARMI,DZONG,EASTE,GHACH,GURUN,GURUN,JIREL,KAIKE,KARGI,KHAPA,KHARM,KINNA,KYIRO,LHASA,LOWA{,MANAN,MAQU_,MARPH,PURIK,RANG_,RGYAL,RONDU,RONGP,SHERP,SHIGA,SKARD,TAMAN,THAKA,TIBET,TIBET,TIBET,TSHAN,WESTE,A_TON,BODO_,DEURI,DIMAS,GARO{,KOK_B,KACHA,RABHA,RIANG,TIPPE,TIWA{,USUI{,WANAN,ACHAN,AKHA{,BISU{,BIYUE,BURME,CAIYU,DAFAN,DAZHA,ENU{S,GELAN,HPON{,JINO{,KADUO,KATSO,LAHU{,LAHU_,LALO{,LASHI,LASHI,LISU{,LISU_,MARU{,MOJIA,MPI{S,NANJI,NUOSU,NUSU{,PELA{,PHUNO,SANI_,SHUIG,XIAND,XIDE{,YANGO,ZAIWA,AMOY_,CANTO,CHAOY,DONGS,DUNGA,FUZHO,HAINA,HAKKA,KUNMI,MANDA,MANDA,PUTIA,SUZHO,YONGA,XIANG,DHAMM,MIJI{,DHIMA,IDU_M,TARAO,JINGP,JINGP,BWE_K,KAREN,KAREN,KAREN,KAREN,KAREN,KAREN,KAREN,KAREN,KAYAH,KAYAH,KAYAN,CHIN_,CHIN_,CHIN_,CHIN_,CHIN_,CHOTH,HMAR{,HRANG,KARBI,KOIRE,LAKHE,LUSHA,MEITE,MOSHA,NAGA_,NAGA_,NAGA_,NAGA_,NAGA_,NAGA_,NAGA_,NAGA_,NAGA_,NAGA_,NAGA_,NAGA_,NAGA_,NAGA_,NAGA_,NAGA_,NAGA_,NAGA_,LEPCH,BAHIN,CAMLI,CHEPA,CHHIN,DOLAK,DUMI{,DUMI_,JERUN,KHALI,KHAM{,KHAM_,KHWOP,KULUN,LIMBU,MAGAR,MAGAR,MEWA_,PUMA{,SUNWA,SUNWA,TAKA_,THANG,THULU,WAMBU,YAKHA,NAXI{,NAXI_,CHANG,CHANG,KONYA,NAGA_,NAGA_,NAGA_,NAGA_,NAGA_,NOCTE,PHOM{,WANCH,ANONG,DRUNG,NUNG_,RAWAN,JIULO,MAWO_,QIANG,QIANG,QIANG,QIANG,STODS,ZHABA,RAJI{,RAUTE,ADI_G,APATA,ASHIN,BANGN,BENGN,BOKAR,DOUYU,GALO{,KAMAN,MISIN,NISHI,NISI{,NISI_,NORTH,BUGUN,SHERD,PUROI,SULUN,WUTUN

DASHI_BAI{ST.BAI|Sino-Tibe,.00
EGA_BAI{ST.BAI|Sino-Tibeta,79.90,.00
ENQI_BAI{ST.BAI|Sino-Tibet,74.94,49.48,.00
ERYUAN_BAI{ST.BAI|Sino-Tib,75.02,87.47,82.11,.00
GONGXING_BAI{ST.BAI|Sino-T,77.19,58.74,64.63,90.92,.00
HEDIAN_BAI{ST.BAI|Sino-Tib,64.28,72.23,73.46,74.85,73.34,.00
HEQING_BAI{ST.BAI|Sino-Tib,69.63,90.30,85.59,49.14,92.46,70.35,.00
JIANCHUAN_BAI{ST.BAI|Sino-,70.98,84.44,87.06,46.58,88.96,66.08,30.84,.00
JIANCHUAN_BAI_2{ST.BAI|Sin,77.88,85.73,85.29,58.99,86.63,77.83,53.93,47.83,.00
JINDING_BAI{ST.BAI|Sino-Ti,56.25,71.76,76.88,79.51,75.91,44.38,62.65,61.12,71.61,.00
JINDUN_BAI{ST.BAI|Sino-Tib,55.86,77.67,73.94,73.83,80.70,43.50,44.88,64.56,76.69,31.66,.00
JINMAN_BAI{ST.BAI|Sino-Tib,71.96,50.38,60.39,90.75,68.82,68.51,93.24,90.30,92.81,69.14,76.35,.00
JINXING_BAI{ST.BAI|Sino-Ti,51.56,80.98,78.91,84.89,78.53,65.85,81.90,75.75,71.53,57.99,63.28,78.26,.00
LANPING_BAI{ST.BAI|Sino-Ti,72.24,85.87,88.80,55.18,87.75,74.87,31.74,26.84,46.14,44.44,66.66,87.50,79.28,.00
LONGMEN_BAI{ST.BAI|Sino-Ti,51.31,70.23,72.85,75.25,75.40,38.44,62.24,51.92,73.39,25.54,30.45,69.60,55.43,61.87,.00
LUOBENZHUO_BAI{ST.BAI|Sino,84.55,59.75,65.12,90.47,79.30,79.98,94.09,90.42,93.40,80.03,83.16,46.67,87.94,93.01,78.89,.00
LUOBENZHUO_BAI_2{ST.BAI|Si,91.39,73.00,80.12,75.31,84.80,91.57,80.51,75.24,78.54,89.57,91.24,68.57,95.70,78.28,86.79,50.32,.00
MAZHELONG_BAI{ST.BAI|Sino-,62.91,72.71,76.54,79.66,70.01,64.22,78.46,75.05,79.32,67.98,69.10,76.18,65.39,79.93,63.03,81.50,87.11,.00
QILIQIAO_BAI{ST.BAI|Sino-T,59.99,70.82,63.60,69.63,68.03,45.62,69.18,70.39,75.75,44.45,39.85,75.53,61.66,73.52,38.54,81.31,93.11,61.22,.00
QILIQIAO_BAI_2{ST.BAI|Sino,77.55,88.94,82.45,33.50,87.01,74.00,41.57,34.25,50.50,76.39,71.70,96.42,80.68,45.05,70.57,95.86,79.44,77.36,49.41,.00
SHI_BAI{ST.BAI|Sino-Tibeta,64.38,61.41,62.40,68.57,67.49,48.53,77.48,78.07,79.05,55.80,52.15,64.59,68.95,79.10,49.87,71.20,85.87,60.56,30.07,69.90,.00
TUOLUO_BAI{ST.BAI|Sino-Tib,70.65,70.70,66.16,92.32,57.29,73.88,89.48,87.70,87.20,74.66,75.91,69.29,71.49,87.68,72.01,80.23,88.36,72.36,70.37,89.09,74.69,.00
XIANGYUN_BAI{ST.BAI|Sino-T,72.80,84.95,84.91,49.42,87.00,44.10,41.94,36.01,56.87,70.08,71.15,83.62,76.00,44.18,63.66,91.65,75.31,76.39,73.49,43.72,70.98,87.76,.00
XISHAN_BAI{ST.BAI|Sino-Tib,61.21,75.24,67.36,48.85,72.97,52.85,72.02,74.65,78.54,58.19,52.07,74.93,73.99,78.40,53.96,76.34,85.88,65.28,31.12,66.94,35.29,72.98,73.20,.00
YUNLONG_BAI{ST.BAI|Sino-Ti,80.96,80.93,77.13,33.76,86.46,74.48,50.16,44.62,52.13,83.17,80.69,87.36,85.66,53.72,77.38,89.55,70.47,77.41,70.75,27.95,53.46,90.74,44.14,67.60,.00
ZHAOZHUANG_BAI{ST.BAI|Sino,59.88,72.37,64.38,71.83,77.55,53.19,72.56,73.33,75.99,59.80,57.41,70.90,59.80,77.39,51.99,78.01,88.71,64.54,38.44,63.38,41.99,77.97,69.66,54.65,68.46,.00
ZHOUCHENG_BAI_2{ST.BAI|Sin,75.30,86.63,80.85,29.90,86.50,70.21,44.43,36.01,50.24,74.82,71.22,94.27,79.56,46.14,68.88,94.33,78.51,76.83,56.89,14.29,67.76,89.26,43.75,63.70,27.30,63.66,.00
ZHOUCHENG_BAI{ST.BAI|Sino-,54.80,66.72,58.64,69.15,67.48,51.03,70.71,69.85,76.04,57.00,52.09,70.71,55.34,72.74,48.55,80.89,90.06,61.19,30.54,60.75,38.31,73.68,68.13,41.80,67.96,32.30,57.73,.00
NORTHERN_BAIMA{ST.BAIMA|Si,99.43,97.94,98.62,93.67,92.87,101.21,96.68,95.81,96.92,98.33,99.34,97.35,101.54,96.87,100.97,96.12,92.65,99.87,98.80,94.14,99.29,98.06,96.83,98.55,94.14,98.66,94.38,99.05,.00
