2,SYNONYMS,,AT,LEAST,28,WORDS,,DATE,>,1700
LOANWORDS,EXCLUDED

LDND,BAODI,LI_BA,LI_TO,BAHA_,BUYAN,CA_HA,CUN{T,ECUN_,GELAO,GELAO,GELAO,GREEN,HONGF,JINCH,JINXI,JUDU_,LACHI,LAHA{,LAKKJ,LANGJ,MULAO,NA_KH,NIUPO,PAHA{,PHO_B,PUBIA,TA_MI,WHITE,YERON,ZHENF,BLACK,DEHON,DEHON,DONGM,DONGY,FANGC,FUSUI,GUIGA,HAWYI,JINGH,JINGH,JINPI,KAM{T,KAM_Z,KHORA,LAIBI,LALIU,LALIU,LAMPA,LAO{T,LAOTI,LIANS,LINCH,LONGA,LONGZ,LU{TK,LUE_C,LUE_M,LUNG_,LUNG_,LUOCH,LVCHU,MAGUA,MAK{T,MANGS,MAONA,MENGL,MULAO,NINGM,NORTH,NUNG{,ONG_B,PO_AI,QINZH,SAEK{,SAEK_,SAEK_,SANDO,SHAN{,SHAN_,SHAN_,SHAN_,SHANG,SHANG,SHUIQ,SIAME,SIAME,SONGK,SOUTH,SUI{T,SUI_J,SUI_L,TAI_C,TAI_D,TAI_K,TAI_L,TAI_L,TAI_L,TAI_N,TAI_N,TAI_P,TAI_P,TAI_W,TAI_W,TAIYA,TAIYA,TAY{T,TEN{T,TEN_2,THAI{,THAI_,THAI_,TIANZ,WANGM,WHITE,WHITE,WHITE,WU_MI,WUDIN,WUMIN,WUMIN,XIANA,YANG{,YAY{T,YAY_2,YONGN,YUANJ,YUANY,ZHANG,ZHUAN,ZHUAN

BAODING_HLAI{TK.HLAI|Tai-K,.00
LI_BAODING{TK.HLAI|Tai-Kad,24.56,.00
LI_TONGSHI{TK.HLAI|Tai-Kad,40.76,24.07,.00
BAHA_BUYANG{TK.KADAI|Tai-K,93.12,90.20,93.65,.00
BUYANG{TK.KADAI|Tai-Kadai,,92.80,90.42,95.09,77.64,.00
CA_HA_GELAO{TK.KADAI|Tai-K,95.68,95.28,96.31,96.82,94.46,.00
CUN{TK.KADAI|Tai-Kadai,Kra,69.90,69.49,69.10,92.22,95.92,98.69,.00
ECUN_BAHA_BUYANG{TK.KADAI|,89.04,85.48,91.77,73.68,57.17,98.48,93.93,.00
GELAO_LAOZHAI{TK.KADAI|Tai,91.19,94.10,94.28,92.08,94.90,66.46,95.20,93.23,.00
GELAO_QIAOSHANG{TK.KADAI|T,97.60,95.63,95.59,95.11,97.14,82.72,102.07,98.95,53.12,.00
GELAO_WANZI{TK.KADAI|Tai-K,89.23,93.44,96.30,95.51,95.58,79.57,99.19,98.73,52.14,55.12,.00
GREEN_GELAO{TK.KADAI|Tai-K,92.47,94.71,97.63,98.96,94.40,88.83,96.44,94.18,66.32,65.35,28.45,.00
HONGFENG_GELAO{TK.KADAI|Ta,95.40,97.84,99.86,98.50,95.83,96.33,99.97,91.97,92.94,94.50,94.10,88.79,.00
JINCHANG_WHITE_LACHI{TK.KA,96.76,98.28,98.13,96.57,95.79,92.54,97.01,94.65,83.73,96.58,88.01,89.46,91.08,.00
JINXIU_LAKKIA{TK.KADAI|Tai,93.41,93.18,91.05,94.41,89.53,89.54,96.36,91.45,85.51,85.98,85.72,95.95,98.22,95.48,.00
JUDU_GELAO{TK.KADAI|Tai-Ka,98.94,100.22,100.16,87.38,90.28,87.95,100.63,90.24,77.25,84.63,82.18,82.48,89.32,92.95,95.06,.00
LACHI{TK.KADAI|Tai-Kadai,K,96.81,96.71,97.02,92.00,96.86,93.62,93.60,96.61,86.66,94.51,88.80,88.64,94.59,60.19,92.06,93.36,.00
LAHA{TK.KADAI|Tai-Kadai,Kr,86.45,84.16,87.84,70.38,71.66,89.70,92.17,77.18,75.90,83.37,84.37,86.73,91.38,88.41,84.69,86.36,87.69,.00
LAKKJA{TK.KADAI|Tai-Kadai,,96.12,96.52,94.61,96.95,95.77,90.88,96.20,93.89,84.38,86.33,88.63,97.16,94.91,97.41,17.98,95.11,92.32,90.45,.00
LANGJIA_BUYANG{TK.KADAI|Ta,90.83,86.45,91.41,78.13,13.86,92.82,95.53,59.52,92.86,94.39,94.80,93.39,95.16,94.38,91.74,90.32,97.64,69.87,95.55,.00
MULAO_KADAI{TK.KADAI|Tai-K,98.47,98.87,99.64,93.89,96.05,95.42,95.07,98.71,90.74,89.97,91.01,90.20,93.39,87.79,98.32,95.20,98.89,90.68,99.35,95.98,.00
NA_KHE_GELAO{TK.KADAI|Tai-,95.22,94.35,95.31,94.64,96.73,87.83,93.06,96.66,86.81,87.52,89.54,90.09,87.24,90.71,98.13,91.05,94.40,88.05,95.61,96.41,95.15,.00
NIUPO_GELAO{TK.KADAI|Tai-K,100.39,103.34,102.26,90.12,91.53,89.65,98.28,86.40,75.27,86.26,79.30,77.45,85.85,85.84,95.57,51.17,89.36,83.47,94.58,93.93,94.41,94.78,.00
PAHA{TK.KADAI|Tai-Kadai,Kr,87.01,83.74,88.37,38.12,68.29,92.19,98.12,66.14,85.97,87.89,88.50,89.51,93.23,94.53,86.19,83.93,94.56,57.40,94.14,70.90,93.15,90.74,88.08,.00
PHO_BANG_GELAO{TK.KADAI|Ta,95.57,97.41,97.43,96.04,93.86,32.85,98.73,95.77,62.27,85.37,80.51,88.71,96.80,90.81,89.94,83.43,94.46,86.60,91.58,92.57,93.56,86.87,86.70,90.55,.00
PUBIAO{TK.KADAI|Tai-Kadai,,90.40,87.63,89.92,84.19,79.15,89.84,98.02,85.58,83.34,92.36,84.61,92.43,97.80,97.10,96.88,91.45,98.34,67.11,97.28,77.48,94.73,101.97,94.59,71.10,88.51,.00
TA_MIT_LAHA{TK.KADAI|Tai-K,94.74,94.96,94.09,87.24,82.12,93.70,90.16,89.60,90.53,92.52,90.88,94.43,93.24,93.49,88.40,90.43,92.94,70.80,92.80,82.60,91.54,88.27,90.90,82.12,89.51,92.98,.00
WHITE_LACHI{TK.KADAI|Tai-K,98.29,99.00,100.61,87.16,96.38,89.51,97.20,100.73,78.09,89.93,85.94,94.38,93.66,74.95,94.04,95.09,68.35,87.89,95.85,93.75,100.18,93.03,91.95,95.48,87.50,96.70,99.97,.00
YERONG{TK.KADAI|Tai-Kadai,,94.17,91.78,94.71,84.49,81.82,93.34,96.77,82.55,86.70,89.31,80.42,84.14,93.80,90.46,91.97,92.67,94.58,73.53,93.10,81.65,91.11,95.98,92.14,87.18,92.63,82.31,87.35,92.03,.00
ZHENFENG_GELAO{TK.KADAI|Ta,95.14,98.56,96.12,94.06,91.84,90.93,97.71,93.55,89.74,92.21,77.09,77.96,90.11,94.27,90.39,86.55,94.79,88.15,93.25,94.00,86.53,83.51,88.86,89.61,93.36,95.43,89.06,92.84,88.91,.00
BLACK_TAI_2{TK.KAM-TAI|Tai,86.42,87.60,87.76,90.52,86.86,94.07,82.50,89.01,89.11,93.00,90.05,95.38,100.15,94.10,88.34,94.59,93.65,86.35,94.49,87.69,94.99,97.78,98.88,92.75,94.58,89.17,94.43,95.53,91.67,93.29,.00
DEHONG{TK.KAM-TAI|Tai-Kada,85.34,79.52,81.45,88.82,86.34,94.18,83.86,88.05,91.27,90.63,93.05,99.01,100.37,98.80,88.39,99.16,92.98,79.19,94.13,85.97,98.01,96.15,100.76,87.78,95.98,83.34,88.98,99.14,88.56,95.00,56.60,.00
DEHONG_TAI_NUEA{TK.KAM-TAI,84.52,84.29,83.48,89.03,87.84,94.66,87.58,89.89,90.27,90.92,89.57,94.44,101.41,95.87,86.43,97.51,90.77,74.76,92.61,86.50,96.81,95.87,100.82,84.27,96.38,81.94,88.39,98.92,90.21,93.97,56.19,43.13,.00
DONGMEN_MULAM{TK.KAM-TAI|T,92.81,89.97,89.59,89.56,90.97,96.31,95.18,86.91,100.24,100.01,99.88,98.99,93.78,101.02,76.82,99.30,100.67,77.44,80.34,89.22,99.64,99.93,97.72,89.85,94.83,96.32,94.41,100.43,98.17,97.15,90.90,90.12,91.03,.00
DONGYING_LINGAO{TK.KAM-TAI,77.77,77.28,79.01,90.21,93.53,97.06,81.22,94.70,96.01,97.63,92.40,92.03,99.27,99.93,93.21,97.15,97.32,82.64,98.68,90.03,93.06,98.91,99.05,86.24,98.70,86.11,96.63,98.44,97.64,97.31,75.27,77.54,78.38,88.90,.00
FANGCUN_MAK{TK.KAM-TAI|Tai,86.52,84.33,88.87,87.90,91.72,92.68,95.16,89.72,92.47,93.03,97.68,102.69,97.96,99.69,81.08,96.32,97.28,72.90,80.59,84.46,100.86,96.19,98.45,82.91,89.98,87.81,93.14,97.34,90.87,95.64,86.60,80.02,81.87,71.66,77.31,.00
FUSUI_CENTRAL_HONGSHUIHE_Z,84.15,82.40,80.58,87.27,89.74,94.51,81.66,93.75,90.09,93.67,89.96,96.09,105.32,97.65,83.43,95.17,92.86,83.24,90.44,89.63,98.71,95.99,98.47,87.66,94.79,88.29,91.64,96.32,94.03,94.65,59.05,59.51,58.98,86.60,72.08,76.07,.00
